city,latitude,longitude,areaCode
Chapel Hill,35.8495,-79.0341,919
Sugar Grove,36.2533,-81.831,828
Dudley,35.284,-78.0197,919
Wilmington,34.1484,-77.862,910
Fairview,35.5193,-82.3696,828
Kannapolis,35.4954,-80.6223,704
Princeton,35.4368,-78.1949,919
Summerfield,36.2297,-79.8709,336
Charlotte,35.26,-80.8042,704
Stanley,35.3853,-81.047,704
Timberlake,36.2989,-78.9253,336
Greensboro,36.0844,-79.8209,336
Ramseur,35.6874,-79.6162,336
Paw Creek,35.26,-80.8042,704
Greenville,35.6056,-77.2335,252
Landis,35.5449,-80.615,704
Raleigh,35.8278,-78.6421,919
Cramerton,35.2344,-81.0809,704
Grandy,36.2392,-75.8724,252
Valdese,35.7348,-81.5874,828
Hickory,35.7217,-81.3603,828
Boone,36.2191,-81.6563,828
Ash,34.0702,-78.4839,910
Roxboro,36.408,-78.9178,336
Asheville,35.5912,-82.546,828
Carolina Beach,34.0376,-77.8991,910
Holly Ridge,34.5481,-77.5464,910
Stony Point,35.8405,-81.0635,704
Camp Lejeune,34.6403,-77.3043,910
Raleigh,35.8278,-78.6421,919
Pine Level,35.5059,-78.2435,919
Spring Lake,35.2268,-78.9561,910
Hubert,34.7062,-77.2297,910
Saint Pauls,34.7909,-78.9522,910
New Bern,35.1523,-77.0607,252
Jamesville,35.7728,-76.8976,252
Rutherford College,35.7522,-81.523,828
Claremont,35.7341,-81.1367,828
Mamers,35.4201,-78.9343,910
Cameron,35.2869,-79.1797,910
Kernersville,36.1172,-80.0765,336
Hampstead,34.4568,-77.6691,910
Lake Lure,35.4626,-82.1804,828
Durham,36.0512,-78.8577,919
Liberty,35.8845,-79.5544,336
Advance,35.9446,-80.4391,336
Raleigh,35.8278,-78.6421,919
Clayton,35.6263,-78.4371,919
Tabor City,34.0933,-78.8027,910
Smyrna,34.761,-76.5158,252
Raleigh,35.8278,-78.6421,919
Hookerton,35.4174,-77.561,252
Glenville,35.1725,-83.0783,828
Semora,36.495,-79.0928,336
Nebo,35.6384,-81.9008,828
Hamptonville,36.1206,-80.8508,336
Sunbury,36.4544,-76.5884,252
Gulf,35.5623,-79.2793,
Sealevel,34.8769,-76.3847,252
Bailey,35.7989,-78.1018,252
Charlotte,35.206,-80.829,704
Greensboro,36.0844,-79.8209,336
Charlotte,35.206,-80.829,704
Charlotte,35.206,-80.829,704
Willow Spring,35.5617,-78.6586,919
Tryon,35.2406,-82.0487,828
Harrells,34.682,-78.3134,910
Bladenboro,34.5714,-78.7566,910
Sherrills Ford,35.61,-80.9882,704
Stanfield,35.2146,-80.4329,704
Sophia,35.7987,-79.8932,336
Linden,35.2338,-78.8012,910
Lumberton,34.6403,-79.0286,910
Southern Pines,35.1752,-79.3834,910
Roanoke Rapids,36.429,-77.7247,252
Buies Creek,35.4068,-78.7382,910
Millers Creek,36.2657,-81.2768,336
Apex,35.7804,-78.9201,919
Bessemer City,35.3214,-81.2973,704
Concord,35.3932,-80.5981,704
Lemon Springs,35.3948,-79.1884,919
Mineral Springs,34.9163,-80.6404,704
Manteo,35.8971,-75.6826,252
Chadbourn,34.3113,-78.8626,910
Gastonia,35.2326,-81.1766,704
Greensboro,36.0844,-79.8209,336
Pollocksville,34.975,-77.2329,252
Gastonia,35.2326,-81.1766,704
Barnardsville,35.7531,-82.4143,828
Drexel,35.7538,-81.6069,828
Fair Bluff,34.2953,-79.0201,910
Raleigh,35.8278,-78.6421,919
Raleigh,35.8278,-78.6421,919
Lowell,35.271,-81.0993,704
Pikeville,35.4888,-77.9614,919
Wilmington,34.2321,-77.8835,910
Farmville,35.5988,-77.5876,252
Kinston,35.2157,-77.5764,252
Leland,34.2432,-78.0996,910
Winston Salem,36.0864,-80.2636,336
Goldsboro,35.3669,-77.9985,919
New Hill,35.6658,-78.984,919
Lewiston Woodville,36.0667,-77.223,252
Chinquapin,34.8151,-77.7379,910
Godwin,35.1638,-78.6357,910
Lynn,35.2269,-82.2228,828
Terrell,35.5785,-80.9644,828
Bonlee,35.6457,-79.4139,919
Charlotte,35.206,-80.829,704
Stella,34.7574,-77.1685,910
Rocky Point,34.4347,-77.9316,910
Salisbury,35.6744,-80.4803,704
Winston Salem,36.0864,-80.2636,336
Burlington,36.0918,-79.4503,336
Graham,35.9665,-79.345,336
Supply,34.0245,-78.2942,910
Scotts,35.8443,-81.0071,
Thomasville,35.8535,-80.1084,336
Staley,35.7867,-79.5553,336
Wade,35.1242,-78.7475,910
Micro,35.563,-78.2053,919
Black Mountain,35.605,-82.3132,828
Coats,35.4166,-78.6573,910
Lincolnton,35.4761,-81.254,704
Wagram,34.9232,-79.4047,910
Pope A F B,35.1734,-79.0138,910
Creedmoor,36.1052,-78.6868,919
Walnut Cove,36.3178,-80.1813,336
